"d.hits","wk.hits","adj.d"
8,0,81.3333333333333
8,44,44
20,0,110
35,0,192.5
41,0,225.5
39,0,214.5
53,0,291.5
6,0,33
1,56,56
39,0,2184
60,0,3360
16,0,896
40,0,2240
42,0,2352
4,0,224
4,44,44
36,0,396
29,0,319
33,0,363
24,0,264
26,0,286
10,0,110
1,50,50
25,0,1250
35,0,1750
24,0,1200
43,0,2150
35,0,1750
4,0,200
6,54,54
47,0,423
45,0,405
39,0,351
31,0,279
24,0,216
6,0,54
6,81,81
49,0,661.5
35,0,472.5
77,0,1039.5
92,0,1242
63,0,850.5
4,0,54
14,100,100
56,0,400
76,0,542.857142857143
75,0,535.714285714286
100,0,714.285714285714
41,0,292.857142857143
12,0,85.7142857142857
16,84,84
61,0,320.25
45,0,236.25
51,0,267.75
50,0,262.5
68,0,357
16,0,84
12,83,83
60,0,415
57,0,394.25
41,0,283.583333333333
37,0,255.916666666667
50,0,345.833333333333
